SampleSize,EstimatedThetaG_P,EstimatedSigmaG_P,EstimatedThetaTildeG_P,EstimatedGammaG_P,EstimatedLambdaG_P1,EstimatedSigmaLambda2G_P1,EstimatedLambdaG_P2,EstimatedSigmaLambda2G_P2,EstimatedThetaLR_P,EstimatedGammaLR_P,EstimatedGammaHuangLR_P,EstimatedLambdaLR_P1,EstimatedSigmaLambda2LR_P1,EstimatedLambdaLR_P2,EstimatedSigmaLambda2LR_P2
50,0.732197265625,6.166264,0.619609375,0.633801655769355,2.02763606231543,4.65584403170699,5.9548071012818,82.0157568707875,0.665891745628066,1.30951727886627,0.176461784247023,2.17884892352829,7.78559892445232,5.9548071012818,82.0157568707875
50,0.61455078125,9.12006399999999,0.497382812499999,0.686416645050054,2.20120243192347,3.5960591888654,6.09265918517555,82.0454963704738,0.773380528102458,0.851950238782737,0.962329648146436,2.003860959436,2.90035539615703,6.09265918517555,82.1196285392925
50,0.67908203125,5.992688,0.555351562499999,0.765461444854742,2.60371136036859,3.87404826111683,5.92194035359759,82.0080403110653,0.715788104836489,0.905961298326814,0.814394809115297,2.60371136036859,4.4158005486924,5.92194035359759,82.0080403110653
50,0.565878906249999,6.472744,0.445087890624999,0.729523472785956,2.50042856504458,8.68461344276451,5.99553664324089,82.0249742157567,0.490758470437358,1.18910979837455,0.311746677700661,2.74397431667856,12.8951948090748,5.99553664324089,82.0249742157567
50,0.491435546874999,7.881872,0.355742187499999,0.920634388923653,2.37036780209076,7.51532177200059,6.1046593131776,82.0478964472759,0.684678042700287,1.14886371718804,1.65801900132257,2.17748827421123,6.41062907061642,6.1046593131776,82.0478964472759
50,0.635263671875,7.37152,0.532656249999999,0.526414151191715,2.09517115983008,3.73027720378565,5.98662791308216,82.0229900690888,0.698129925290403,1.3166272851423,0.727578943778417,1.95938271764564,4.73162433329575,5.98662791308216,82.0229900690887
50,0.505449218749999,11.684704,0.378437499999999,0.806598834991462,2.30434708920729,6.20990328192473,6.19580384245937,82.0652153384053,0.568339858743618,0.794707705880499,0.78589574538022,2.13730864702285,5.84118749920763,6.19580384245937,82.0652153384053
50,0.70875,10.764824,0.601015625,0.580334777832035,2.29684991677177,4.22425952495329,6.15126963298682,82.056950249471,0.704044962622395,0.889237150857484,0.473239478946873,2.29684991677177,5.35109688198949,6.15126963298682,82.056950249471
50,0.65255859375,7.567472,0.541406249999999,0.617742176055915,2.1159935788137,4.24588051656939,6.04316461778006,82.1876165257839,0.662151504574859,1.42662549701291,0.478012242343879,1.98466942234354,6.89308970053941,6.04316461778006,82.2228152919759
50,0.447412109374999,8.606872,0.322656249999998,0.778201222419745,2.44730048041282,5.30388685007461,6.09265918517555,82.0454963704739,0.516024791899883,0.82595350546714,0.704723159435977,2.27670100742204,5.26882763425194,6.09265918517555,82.0454963704739
50,0.69794921875,7.46708,0.575039062499999,0.755345325469976,1.94146622656543,2.6178823345722,5.99996142200195,82.0259531491109,0.789246184239923,1.47692658942181,0.917431591503213,1.82540222520731,3.59180096525052,5.99996142200196,82.2377180243464
50,0.6313671875,6.640696,0.509414062499999,0.743628234863288,2.2731893019587,3.29875918405376,5.96400255217597,82.0178707898876,0.627660108117435,1.6189436186161,0.626718303437892,2.2731893019587,5.76468624198938,5.96400255217597,82.3724362851195
50,0.458691406249999,6.044712,0.334824218749998,0.767154006958014,2.49598412060013,4.98370433677296,5.99109219879645,82.0239865614357,0.652670438770614,1.10211179692638,1.34093547618488,2.02943840120939,7.02801249371346,5.99109219879644,82.0239865614357
50,0.640322265625,5.430336,0.536484374999999,0.539115376472479,2.02858635628451,4.24921780245534,5.88300607249955,81.9985648938787,0.647959128533997,0.94904628521144,0.340233127534114,2.02858635628451,5.05104626425265,5.88300607249955,81.9985648938787
50,0.554804687499999,9.70076,0.440234374999999,0.656317825317389,2.42829898408976,5.40424468493212,6.16259049517659,82.0590863017613,0.726002531581974,0.995962628110528,1.09050189164882,1.98803129838196,6.85224578013532,6.1625904951766,82.0590863017613
50,0.623095703125,7.42580800000001,0.502578124999999,0.72622433185578,2.55647762953872,7.03735047933566,6.05158570773503,82.1890177488914,0.502913460863474,1.80871156701792,0.116098858694592,2.73335671450604,11.301135908847,6.05158570773503,82.1237789809927
50,0.84177734375,15.840984,0.74634765625,0.455341262817385,2.097579666134,2.84224800664467,6.29916588995566,82.0830373674331,0.844781956138518,1.09327544630602,0.348879384816369,2.07126387666031,4.21323934526849,6.29916588995566,82.5720012710766
50,0.616396484375,10.074256,0.520624999999999,0.458608860969547,2.38287291892685,4.5977011727224,6.15883109668036,82.0583796479086,0.586514117362522,1.3089112690673,0.18088265859436,2.42453958559352,10.2123243583047,6.15883109668035,82.0583796479087
50,0.626171875,8.969112,0.519531249999999,0.568611145019535,1.94172648437468,3.02848635762976,6.05993647482011,82.0388034340415,0.601820249820481,1.07763232729759,0.307805443879768,1.97113824908056,4.91658261114961,6.05993647482011,82.0388034340415
50,0.6647265625,8.701504,0.553437499999999,0.619262771606451,2.02013883162624,3.90292357291785,6.04738402706276,85.7110303616044,0.671534208278651,1.00478288880906,0.456376566384485,2.02013883162624,5.28611147390396,6.04738402706276,88.1888814299124
50,0.78927734375,6.98824,0.6701953125,0.709026508331303,1.93259700335993,3.71231028379651,5.99109219879645,88.4240191379994,0.834329546478203,1.47380277752581,0.747843666073519,1.78950597497478,5.74618118718511,5.99109219879645,89.5015210578803
50,0.651533203125,9.24988,0.524999999999999,0.800532574653633,2.28603157938282,8.15072730671399,6.1774883326349,82.0618606693782,0.650092103897206,1.18503911434113,0.488488075141309,2.28603157938282,10.2235497617768,6.1774883326349,82.0618606693782
50,0.581396484374999,10.544952,0.470996093749999,0.609412312507634,2.12935783189689,3.26179807861803,6.12434496281728,82.051771815434,0.73724567964403,0.900379692954751,1.04700025226345,1.92275873899561,3.24458441702049,6.12434496281728,82.051771815434
50,0.815595703125,5.692576,0.69330078125,0.747802395820619,1.80898641096821,1.92938771986587,5.89778463670776,82.0022050521029,0.647289751895516,1.72162839638132,0.00184759922275686,1.97061359774139,4.80815730227249,5.89778463670776,82.0022050521029
50,0.555761718749999,6.461592,0.435859374999999,0.718828601837164,2.10038738506675,3.36738583002882,5.9548071012818,82.0157568707875,0.575936258167488,1.48142536440522,0.505667614715827,1.95981997036141,4.89529779356643,5.9548071012818,82.0157568707875
50,0.614208984375,6.987672,0.501484374999999,0.635341877937323,2.24785209706258,2.70583354197088,5.98214360814942,82.0219846195523,0.746818602956084,1.01008081079552,0.931695807212853,2.02048981056237,4.0997356231293,5.98214360814943,82.0219846195523
50,0.69986328125,8.96156,0.582421874999999,0.689624195098883,2.18497491755953,4.56348859918545,6.07643167081162,82.042204649975,0.750117165690878,1.004917733957,0.556388643993298,2.08144453989122,5.99061048293502,6.07643167081161,82.0422046499749
50,0.525273437499999,4.711424,0.403046874999999,0.746966629028326,2.45658394981178,2.99161655875109,5.83731294304077,81.9869636667781,0.653949849473532,0.946093752258594,0.912630130690434,2.39776042040001,3.44110847428701,5.83731294304077,81.9869636667781
50,0.64955078125,9.348472,0.541406249999999,0.584761981964117,2.03684752132926,4.16458255814235,6.15505751177469,82.0576676507566,0.672442915111967,1.3170756753532,0.520733495854863,2.03684752132926,6.26988808193532,6.15505751177469,84.3253033398874
50,0.7440234375,10.309304,0.63396484375,0.605644702911381,1.93131180118713,3.32678011188507,6.1848548401235,82.0632173097938,0.747397148999884,1.45234146213488,0.509958084040235,1.93131180118713,7.79956620436021,6.1848548401235,82.1225744205332
50,0.76576171875,7.614896,0.6302734375,0.91785371780396,1.90807097295884,3.70612829009496,5.13597298625419,38.648862252119,0.778902734684472,1.41905006271985,0.699481126104524,1.90807097295884,5.87502364965841,5.13597298625419,39.7773333151183
50,0.672314453125,7.226944,0.549062499999999,0.759552197456366,2.20966613619842,5.60699579573364,6.06408585241347,82.0396643007621,0.819406986572778,1.20684410447996,1.20053496081578,1.83618383911812,5.70413991861641,6.06408585241347,83.7774106865914
50,0.506748046874999,9.486816,0.381992187499999,0.778201222419744,2.86887638625495,10.1871903005045,6.12043871281728,82.0510088759809,0.638172643419564,0.965830155502422,0.923005072288039,2.5726990556736,9.74015800108901,6.12043871281728,82.0510088759809
50,0.557128906249999,7.875288,0.415624999999999,1.00116777420045,2.12292454652803,5.51683666488791,6.08457834411508,82.0438638640052,0.689262907132899,1.01434761804951,0.97134053899381,1.88299212029342,4.26747182769649,6.08457834411508,82.0438638640051
50,0.607646484375,8.685944,0.491093749999999,0.679226994514471,2.17262909916139,6.34889910717146,6.06408585241347,82.0396643007621,0.663898484457447,1.08624061019461,0.507567954346431,2.06909872149308,7.46125562134826,6.06408585241347,82.0396643007621
50,0.6494140625,10.33792,0.533955078124999,0.666538853645331,1.90528805774398,2.27836049896848,6.15883109668035,82.0583796479086,0.72462166539156,1.22710721827822,0.700245809305466,1.78610520335125,3.07794366165612,6.15883109668035,82.0583796479086
50,0.71544921875,7.857176,0.5898046875,0.789327411651617,1.69960741682678,2.35168231083733,6.07233331015587,82.0413648219718,0.593251079282693,1.84248757130575,0.164242318509682,1.84443129686053,6.06770573987962,6.07233331015588,82.1581908776549
50,0.724951171875,7.838816,0.578593749999999,1.07102474689484,1.77434634221545,6.60441495904443,6.12434496281728,83.3399012204613,0.740988861079031,1.46958499288106,0.449883497601376,1.75161906948818,8.33647383618499,6.12434496281728,84.3112452790116
